Unnamed: 0,movie_title,year,director,actors,war,biography,western,thriller,adventure,romance,reality-tv,mystery,horror,film-noir,musical,sport,animation,action,comedy,fantasy,history,sci-fi,music,crime,drama,family,overviews,description
2698,Sleuth,2007,Kenneth Branagh,"Michael Caine, Jude Law, Harold Pinter, Kenneth Branagh",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"On his sprawling country estate, an aging writer matches wits with the struggling actor who has stolen his wife's heart.",[]
2724,The Producers,2005,Susan Stroman,"Nathan Lane, Matthew Broderick, Uma Thurman, Will Ferrell",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,"After putting together another Broadway flop, down-on-his-luck producer Max Bialystock teams up with timid accountant Leo Bloom in a get-rich-quick scheme to put on the world's worst show.","['Leo Bloom', 'Broadway', 'Max Bialystock']"
2875,The Great Escape,1963,John Sturges,"Steve McQueen, James Garner, Richard Attenborough, Charles Bronson",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"The Nazis, exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners, relocate them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted, the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story.","['Nazis', 'World War II', 'Allied', 'one']"
2879,JFK,1991,Oliver Stone,"Kevin Costner, Gary Oldman, Jack Lemmon, Walter Matthau",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Follows the investigation into the assassination of President John F. Kennedy led by New Orleans district attorney Jim Garrison.,"['John F. Kennedy', 'Jim Garrison', 'New Orleans']"
2883,All the President's Men,1976,Alan J. Pakula,"Dustin Hoffman, Robert Redford, Jack Warden, Martin Balsam",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"During the 1972 elections, two reporters' investigation sheds light on the controversial Watergate scandal that compels President Nixon to resign from his post.","['Nixon', 'two', '1972', 'Watergate']"
2884,The Ten Commandments,1956,Cecil B. DeMille,"Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.","['Moses', 'Hebrew']"
2886,The Man Who Would Be King,1975,John Huston,"Sean Connery, Michael Caine, Christopher Plummer, Saeed Jaffrey",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"A robust adventure about two British adventurers who take over primitive Kafiristan as ""godlike"" rulers, meeting a tragic end through their desire for a native girl. Based on a short story by Rudyard Kipling.","['two', 'British', 'Rudyard Kipling', 'Kafiristan']"
2889,Apollo 13,1995,Ron Howard,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.","['more than 200,000 miles', 'Earth', 'Apollo 13', '1970', 'Jim Lovell']"
2903,Gallipoli,1981,Peter Weir,"Mel Gibson, Mark Lee, Bill Kerr, Harold Hopkins",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"As World War I rages, brave and youthful Australians Archy and Frank¡ªboth agile runners¡ªbecome friends and enlist in the Australian and New Zealand Army Corps together. They later find themselves part of the Dardanelles Campaign on the Gallipoli peninsula, a brutal eight-month conflict which pit the British and their allies against the Ottoman Empire and left over 500,000 men dead.","['Australian', 'British', 'the Dardanelles Campaign', 'eight-month', 'World War I', 'Australians', 'New Zealand Army Corps', 'Archy', 'the Gallipoli peninsula', 'Frank', '500,000', 'the Ottoman Empire']"
2919,Shakespeare in Love,1998,John Madden,"Gwyneth Paltrow, Joseph Fiennes, Geoffrey Rush, Tom Wilkinson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,"Young Shakespeare is forced to stage his latest comedy, ""Romeo and Ethel, the Pirate's Daughter,"" before it's even written. When a lovely noblewoman auditions for a role, they fall into forbidden love -- and his play finds a new life (and title). As their relationship progresses, Shakespeare's comedy soon transforms into tragedy.","[""Romeo and Ethel, the Pirate's Daughter"", 'Shakespeare']"
